store_id,store_name,city,state,region,store_type
S001,QuickMart Onitsha 01,Onitsha,Anambra,South East,Standard
S002,QuickMart Abuja 02,Abuja,FCT,North Central,Standard
S003,QuickMart Uyo 03,Uyo,Akwa Ibom,South South,Express
S004,QuickMart Ikeja 04,Ikeja,Lagos,South West,Superstore
S005,QuickMart Maiduguri 05,Maiduguri,Borno,North East,Standard
S006,QuickMart Ikeja 06,Ikeja,Lagos,South West,Standard
S007,QuickMart Abeokuta 07,Abeokuta,Ogun,South West,Standard
S008,QuickMart Kaduna 08,Kaduna,Kaduna,North West,Superstore
S009,QuickMart Ibadan 09,Ibadan,Oyo,South West,Express
S010,QuickMart Jos 10,Jos,Plateau,North Central,Standard
S011,QuickMart Abeokuta 11,Abeokuta,Ogun,South West,Standard
S012,QuickMart Benin City 12,Benin City,Edo,South South,Standard
S013,QuickMart Ibadan 13,Ibadan,Oyo,South West,Superstore
S014,QuickMart Calabar 14,Calabar,Cross River,South South,Express
S015,QuickMart Akure 15,Akure,Ondo,South West,Standard
S016,QuickMart Ibadan 16,Ibadan,Oyo,South West,Express
S017,QuickMart Port Harcourt 17,Port Harcourt,Rivers,South South,Standard
S018,QuickMart Port Harcourt 18,Port Harcourt,Rivers,South South,Standard
S019,QuickMart Kaduna 19,Kaduna,Kaduna,North West,Express
S020,QuickMart Jos 20,Jos,Plateau,North Central,Standard
S021,QuickMart Abuja 21,Abuja,FCT,North Central,Standard
S022,QuickMart Lagos 22,Lagos,Lagos,South West,Standard
S023,QuickMart Jos 23,Jos,Plateau,North Central,Standard
S024,QuickMart Benin City 24,Benin City,Edo,South South,Standard
S025,QuickMart Abuja 25,Abuja,FCT,North Central,Express
S026,QuickMart Uyo 26,Uyo,Akwa Ibom,South South,Superstore
S027,QuickMart Ilorin 27,Ilorin,Kwara,North Central,Standard
S028,QuickMart Abeokuta 28,Abeokuta,Ogun,South West,Superstore
S029,QuickMart Ado-Ekiti 29,Ado-Ekiti,Ekiti,South West,Standard
S030,QuickMart Benin City 30,Benin City,Edo,South South,Standard
S031,QuickMart Osogbo 31,Osogbo,Osun,South West,Standard
S032,QuickMart Uyo 32,Uyo,Akwa Ibom,South South,Standard
S033,QuickMart Akure 33,Akure,Ondo,South West,Standard
S034,QuickMart Lagos 34,Lagos,Lagos,South West,Superstore
S035,QuickMart Lekki 35,Lekki,Lagos,South West,Standard
S036,QuickMart Lekki 36,Lekki,Lagos,South West,Standard
S037,QuickMart Ilorin 37,Ilorin,Kwara,North Central,Standard
S038,QuickMart Osogbo 38,Osogbo,Osun,South West,Superstore
S039,QuickMart Maiduguri 39,Maiduguri,Borno,North East,Express
S040,QuickMart Ado-Ekiti 40,Ado-Ekiti,Ekiti,South West,Express
S041,QuickMart Onitsha 41,Onitsha,Anambra,South East,Standard
S042,QuickMart Calabar 42,Calabar,Cross River,South South,Standard
S043,QuickMart Onitsha 43,Onitsha,Anambra,South East,Standard
S044,QuickMart Maiduguri 44,Maiduguri,Borno,North East,Standard
S045,QuickMart Port Harcourt 45,Port Harcourt,Rivers,South South,Express
S046,QuickMart Benin City 46,Benin City,Edo,South South,Superstore
S047,QuickMart Lekki 47,Lekki,Lagos,South West,Standard
S048,QuickMart Enugu 48,Enugu,Enugu,South East,Express
S049,QuickMart Kano 49,Kano,Kano,North West,Standard
S050,QuickMart Kano 50,Kano,Kano,North West,Superstore
S051,QuickMart Lagos 51,Lagos,Lagos,South West,Superstore
S052,QuickMart Enugu 52,Enugu,Enugu,South East,Standard
S053,QuickMart Onitsha 53,Onitsha,Anambra,South East,Standard
S054,QuickMart Ilorin 54,Ilorin,Kwara,North Central,Standard
S055,QuickMart Calabar 55,Calabar,Cross River,South South,Standard
S056,QuickMart Ado-Ekiti 56,Ado-Ekiti,Ekiti,South West,Standard
S057,QuickMart Calabar 57,Calabar,Cross River,South South,Superstore
S058,QuickMart Akure 58,Akure,Ondo,South West,Standard
S059,QuickMart Abeokuta 59,Abeokuta,Ogun,South West,Express
S060,QuickMart Enugu 60,Enugu,Enugu,South East,Standard
S061,QuickMart Kaduna 61,Kaduna,Kaduna,North West,Standard
S062,QuickMart Ikeja 62,Ikeja,Lagos,South West,Standard
S063,QuickMart Jos 63,Jos,Plateau,North Central,Standard
S064,QuickMart Ilorin 64,Ilorin,Kwara,North Central,Standard
S065,QuickMart Lekki 65,Lekki,Lagos,South West,Standard
S066,QuickMart Osogbo 66,Osogbo,Osun,South West,Express
S067,QuickMart Ikeja 67,Ikeja,Lagos,South West,Superstore
S068,QuickMart Kaduna 68,Kaduna,Kaduna,North West,Standard
S069,QuickMart Kano 69,Kano,Kano,North West,Standard
S070,QuickMart Akure 70,Akure,Ondo,South West,Express
S071,QuickMart Abuja 71,Abuja,FCT,North Central,Express
S072,QuickMart Ibadan 72,Ibadan,Oyo,South West,Express
S073,QuickMart Uyo 73,Uyo,Akwa Ibom,South South,Superstore
S074,QuickMart Osogbo 74,Osogbo,Osun,South West,Standard
S075,QuickMart Lagos 75,Lagos,Lagos,South West,Superstore
S076,QuickMart Maiduguri 76,Maiduguri,Borno,North East,Superstore
S077,QuickMart Port Harcourt 77,Port Harcourt,Rivers,South South,Superstore
S078,QuickMart Ado-Ekiti 78,Ado-Ekiti,Ekiti,South West,Express
S079,QuickMart Enugu 79,Enugu,Enugu,South East,Standard
S080,QuickMart Kano 80,Kano,Kano,North West,Standard
